state,state_name,geo_id,population,agegroup,pct_pop
LA,Louisiana,22,296013,Age 15 to 19 years,0.0635224028954643
LA,Louisiana,22,309308,Age 20 to 24 years,0.0663754206564924
LA,Louisiana,22,343819,Age 25 to 29 years,0.0737812496110497
LA,Louisiana,22,323363,Age 30 to 34 years,0.0693915293162328
LA,Louisiana,22,313687,Age 35 to 39 years,0.0673151246636787
LA,Louisiana,22,269839,Age 40 to 44 years,0.0579056381811245
LA,Louisiana,22,275446,Age 45 to 49 years,0.0591088627457039
LA,Louisiana,22,287860,Age 50 to 54 years,0.0617728238201983
LA,Louisiana,22,312333,Age 55 to 59 years,0.0670245653520253
LA,Louisiana,22,293933,Age 60 to 64 years,0.063076048856883
LA,Louisiana,22,242885,Age 65 to 69 years,0.0521214907023166
LA,Louisiana,22,185061,Age 70 to 74 years,0.0397128484297565
LA,Louisiana,22,126634,Age 75 to 79 years,0.0271748064046654
LA,Louisiana,22,82803,Age 80 to 84 years,0.0177689680080035
LA,Louisiana,22,81050,Age 85 years and older,0.0173927859745261
ME,Maine,23,64282,Age 0 to 4 years,0.0480288462975305
ME,Maine,23,67596,Age 5 to 9 years,0.0505049297521526
ME,Maine,23,73235,Age 10 to 14 years,0.0547181568495013
ME,Maine,23,77391,Age 15 to 19 years,0.0578233478082851
ME,Maine,23,75024,Age 20 to 24 years,0.0560548235062059
ME,Maine,23,80641,Age 25 to 29 years,0.0602516131153224
ME,Maine,23,79699,Age 30 to 34 years,0.0595477897555596
ME,Maine,23,78163,Age 35 to 39 years,0.058400154213526
ME,Maine,23,74220,Age 40 to 44 years,0.0554541080271727
ME,Maine,23,85710,Age 45 to 49 years,0.0640389598357447
ME,Maine,23,94463,Age 50 to 54 years,0.0705788386765132
ME,Maine,23,107152,Age 55 to 59 years,0.080059533593743
ME,Maine,23,104829,Age 60 to 64 years,0.0783238842681283
ME,Maine,23,91727,Age 65 to 69 years,0.0685346128672658
ME,Maine,23,71640,Age 70 to 74 years,0.053526438952663
ME,Maine,23,47585,Age 75 to 79 years,0.0355535398878067
ME,Maine,23,31628,Age 80 to 84 years,0.0236311308095314
ME,Maine,23,33419,Age 85 years and older,0.0249692917833479
MD,Maryland,24,364504,Age 0 to 4 years,0.060321199830937
MD,Maryland,24,370444,Age 5 to 9 years,0.0613042011889352
MD,Maryland,24,378506,Age 10 to 14 years,0.0626383690253293
MD,Maryland,24,381504,Age 15 to 19 years,0.0631345033807634
MD,Maryland,24,376550,Age 20 to 24 years,0.0623146736286552
MD,Maryland,24,418434,Age 25 to 29 years,0.0692459916216511
MD,Maryland,24,416178,Age 30 to 34 years,0.0688726496917447
MD,Maryland,24,407402,Age 35 to 39 years,0.0674203231062578
MD,Maryland,24,366399,Age 40 to 44 years,0.0606348004325206
MD,Maryland,24,397341,Age 45 to 49 years,0.0657553438700929
MD,Maryland,24,421586,Age 50 to 54 years,0.0697676111974777
MD,Maryland,24,432313,Age 55 to 59 years,0.0715428057374182
MD,Maryland,24,380421,Age 60 to 64 years,0.0629552793957951
MD,Maryland,24,307278,Age 65 to 69 years,0.0508509581284448
MD,Maryland,24,238174,Age 70 to 74 years,0.0394150446868446
MD,Maryland,24,162850,Age 75 to 79 years,0.026949793122896
MD,Maryland,24,104431,Age 80 to 84 years,0.0172821237065837
MD,Maryland,24,118403,Age 85 years and older,0.0195943282476528
MA,Massachusetts,25,360161,Age 0 to 4 years,0.0521809946438421
MA,Massachusetts,25,370010,Age 5 to 9 years,0.0536079415266173
MA,Massachusetts,25,389142,Age 10 to 14 years,0.0563798318465742
MA,Massachusetts,25,455406,Age 15 to 19 years,0.065980320042352
MA,Massachusetts,25,494067,Age 20 to 24 years,0.0715816190001114
MA,Massachusetts,25,507860,Age 25 to 29 years,0.0735799821186126
MA,Massachusetts,25,485053,Age 30 to 34 years,0.0702756489319486
MA,Massachusetts,25,440081,Age 35 to 39 years,0.06375999706758
MA,Massachusetts,25,400571,Age 40 to 44 years,0.0580356929414303
MA,Massachusetts,25,443793,Age 45 to 49 years,0.0642978005835574
MA,Massachusetts,25,477738,Age 50 to 54 years,0.0692158340829791
MA,Massachusetts,25,492474,Age 55 to 59 years,0.0713508213166653
MA,Massachusetts,25,446693,Age 60 to 64 years,0.0647179595804147
MA,Massachusetts,25,367250,Age 65 to 69 years,0.0532080660675393
MA,Massachusetts,25,286579,Age 70 to 74 years,0.0415202569518566
MA,Massachusetts,25,193337,Age 75 to 79 years,0.0280111310260036
